Beans Flux Only,,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,3,0.8638,0.007585,32.9,"7 (3wc@24-56cm, 4p@12-68cm)"
0,3,0.8371,0.008295,28.7,"6 (3wc@20-36cm, 3p@12-36cm)"
0.1,3,0.7742,0.009767,26.4,"5 (3wc@36-48cm, 2p@20-48cm)"
0.2,3,0.86,0.00769,20.1,"3 (1wc@36cm, 2p@20-36cm)"
0.3,3,0.86,0.00769,20.1,"3 (1wc@36cm, 2p@20-36cm)"
0.4,3,0.804,0.009099,21.5,"4 (1wc@20cm, 3p@20-44cm)"
0.5,3,0.804,0.009099,21.5,"4 (1wc@20cm, 3p@20-44cm)"
0.6,3,0.8016,0.009155,15.4,3 (3p@20-44cm)
0.7,4,0.7916,0.009383,13.4,1 (1p@44cm)
0.8,4,0.7916,0.009383,13.4,1 (1p@44cm)
0.9,4,0.8762,0.007231,13.3,1 (1p@44cm)
1,4,-0.7971,0.027554,13.5,1 (1p@60cm)
