Beans Flux Only (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,3,0.9547,0.00647,32.9,"7 (3wc@24-56cm, 4p@12-68cm)"
0.0,3,0.9547,0.00647,28.7,"6 (3wc@20-36cm, 3p@12-36cm)"
0.1,3,0.9529,0.006597,26.4,"5 (3wc@36-48cm, 2p@20-48cm)"
0.2,3,0.9456,0.007092,20.1,"3 (1wc@36cm, 2p@20-36cm)"
0.3,3,0.9456,0.007092,20.1,"3 (1wc@36cm, 2p@20-36cm)"
0.4,3,0.9185,0.008677,21.5,"4 (1wc@20cm, 3p@20-44cm)"
0.5,3,0.9185,0.008677,21.5,"4 (1wc@20cm, 3p@20-44cm)"
0.6,3,0.917,0.00876,15.4,3 (3p@20-44cm)
0.7,4,0.9352,0.007737,13.4,1 (1p@44cm)
0.8,4,0.9352,0.007737,13.4,1 (1p@44cm)
0.9,4,0.9405,0.007416,13.3,1 (1p@44cm)
1.0,4,0.647,0.018061,13.5,1 (1p@60cm)
