Beans Flux and WC,,,,,,
cost_thresh,opt_level,var_exp_train,r2_test,rmse_test,total_cost,sensors
none,4,0.8961,0.844,0.010173,91.5,"13 (9wc@8-200cm, 4p@20-184cm)"
0,4,0.8961,0.8475,0.010122,28.1,"6 (2wc@8-32cm, 4p@20-48cm)"
0.1,4,0.8942,0.8448,0.009929,35,"4 (3wc@8-44cm, 1p@36cm)"
0.2,4,0.8928,0.8459,0.009696,22.7,"3 (1wc@36cm, 2p@36-60cm)"
0.3,4,0.8876,0.8441,0.010022,19.1,"2 (1wc@36cm, 1p@36cm)"
0.4,4,0.8722,0.796,0.011256,20.4,"3 (1wc@12cm, 2p@12-44cm)"
0.5,4,0.8722,0.8319,0.010523,13.2,1 (1p@44cm)
0.6,4,0.8722,0.8319,0.010523,13.2,1 (1p@44cm)
0.7,4,0.8722,0.8319,0.010523,13.2,1 (1p@44cm)
0.8,5,0.8945,0.6732,0.012826,15.5,2 (2p@16-60cm)
0.9,5,0.8422,0.6565,0.013037,15.1,2 (2p@16-60cm)
1,5,0.2651,0.2637,0.019559,14.6,2 (2p@16-60cm)
