Beans Flux+WC,,,,,,,,,,,,,,,,,,,
Cost Threshold,Combined R2,Flux R2,WC R2,R2 Gap (flux-wc),Flux RMSE,WC RMSE,Cost,Sensors,,,,,,,,,,,
none,0.844,0.8491,0.8389,0.0102,0.007984,0.011968,91.5,"13 (9wc@8-200cm, 4p@20-184cm)",,,,,,,,,,,
0,0.8475,0.8578,0.8371,0.0207,0.007751,0.012035,28.1,"6 (2wc@8-32cm, 4p@20-48cm)",,,,,,,,,,,
0.1,0.8448,0.8309,0.8586,-0.0277,0.008451,0.011214,35,"4 (3wc@8-44cm, 1p@36cm)",,,,,,,,,,,
0.2,0.8459,0.8157,0.8761,-0.0604,0.008825,0.010495,22.7,"3 (1wc@36cm, 2p@36-60cm)",,,,,,,,,,,
0.3,0.8441,0.8365,0.8518,-0.0153,0.008312,0.01148,19.1,"2 (1wc@36cm, 1p@36cm)",,,,,,,,,,,
0.4,0.796,0.7658,0.8263,-0.0605,0.009947,0.012428,20.4,"3 (1wc@12cm, 2p@12-44cm)",,,,,,,,,,,
0.5,0.8319,0.8342,0.8297,0.0045,0.00837,0.012305,13.2,1 (1p@44cm),,,,,,,,,,,
0.6,0.8319,0.8342,0.8297,0.0045,0.00837,0.012305,13.2,1 (1p@44cm),,,,,,,,,,,
0.7,0.8319,0.8342,0.8297,0.0045,0.00837,0.012305,13.2,1 (1p@44cm),,,,,,,,,,,
0.8,0.6732,0.4596,0.8868,-0.4272,0.01511,0.010034,15.5,2 (2p@16-60cm),,,,,,,,,,,
0.9,0.6565,0.4195,0.8935,-0.474,0.01566,0.00973,15.1,2 (2p@16-60cm),,,,,,,,,,,
1,0.2637,-0.1663,0.6936,-0.8599,0.022197,0.016504,14.6,2 (2p@16-60cm),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,rmse_flux_cm_per_day
,,,,,,,,,,,,,,,,,,,0.008238
,,,,,,,,,,,,,,,,,,,0.007915
,,,,,,,,,,,,,,,,,,,0.008661
,,,,,,,,,,,,,,,,,,,0.009237
,,,,,,,,,,,,,,,,,,,0.008526
,,,,,,,,,,,,,,,,,,,0.010449
,,,,,,,,,,,,,,,,,,,0.008603
,,,,,,,,,,,,,,,,,,,0.008603
,,,,,,,,,,,,,,,,,,,0.008603
,,,,,,,,,,,,,,,,,,,0.016121
,,,,,,,,,,,,,,,,,,,0.016703
,,,,,,,,,,,,,,,,,,,0.023515
