Beans Flux+WC Content (Training),,,,,,,,
Cost Threshold,Combined R2,Flux R2,WC R2,R2 Gap (flux-wc),Flux RMSE,WC RMSE,Cost,Sensors
none,0.9105,0.93,0.891,0.039,0.008041,0.00955,91.5,"13 (9wc@8-200cm, 4p@20-184cm)"
0.0,0.9105,0.93,0.891,0.039,0.008041,0.00955,28.1,"6 (2wc@8-32cm, 4p@20-48cm)"
0.1,0.9009,0.9281,0.8737,0.0544,0.008149,0.010281,35.0,"4 (3wc@8-44cm, 1p@36cm)"
0.2,0.8976,0.9268,0.8684,0.0584,0.008226,0.010493,22.7,"3 (1wc@36cm, 2p@36-60cm)"
0.3,0.8862,0.9215,0.851,0.0705,0.008516,0.011168,19.1,"2 (1wc@36cm, 1p@36cm)"
0.4,0.8724,0.9213,0.8234,0.0979,0.008526,0.012158,20.4,"3 (1wc@12cm, 2p@12-44cm)"
0.5,0.8724,0.9213,0.8234,0.0979,0.008526,0.012158,13.2,1 (1p@44cm)
0.6,0.8724,0.9213,0.8234,0.0979,0.008526,0.012158,13.2,1 (1p@44cm)
0.7,0.8724,0.9213,0.8234,0.0979,0.008526,0.012158,13.2,1 (1p@44cm)
0.8,0.9419,0.9585,0.9254,0.0331,0.006195,0.0079,15.5,2 (2p@16-60cm)
0.9,0.9154,0.9061,0.9247,-0.0186,0.009318,0.007938,15.1,2 (2p@16-60cm)
1.0,0.5611,0.3277,0.7945,-0.4668,0.024924,0.013114,14.6,2 (2p@16-60cm)
