Beans Flux+WC Content (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,4,0.9105,0.008828,91.5,"13 (9wc@8-200cm, 4p@20-184cm)"
0.0,4,0.9105,0.008828,28.1,"6 (2wc@8-32cm, 4p@20-48cm)"
0.1,4,0.9009,0.009276,35.0,"4 (3wc@8-44cm, 1p@36cm)"
0.2,4,0.8976,0.009428,22.7,"3 (1wc@36cm, 2p@36-60cm)"
0.3,4,0.8862,0.009931,19.1,"2 (1wc@36cm, 1p@36cm)"
0.4,4,0.8724,0.0105,20.4,"3 (1wc@12cm, 2p@12-44cm)"
0.5,4,0.8724,0.0105,13.2,1 (1p@44cm)
0.6,4,0.8724,0.0105,13.2,1 (1p@44cm)
0.7,4,0.8724,0.0105,13.2,1 (1p@44cm)
0.8,5,0.9419,0.007099,15.5,2 (2p@16-60cm)
0.9,5,0.9154,0.008656,15.1,2 (2p@16-60cm)
1.0,5,0.5611,0.019915,14.6,2 (2p@16-60cm)
