Beans WC Only,,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,4,0.9162,0.008632,40.9,"12 (7wc@4-60cm, 5p@20-64cm)"
0,4,0.9172,0.008582,37.8,"9 (6wc@4-60cm, 3p@20-64cm)"
0.1,4,0.9083,0.009028,42.6,"10 (4wc@4-24cm, 6p@4-60cm)"
0.2,4,0.907,0.009093,39.5,"7 (3wc@4-28cm, 4p@4-60cm)"
0.3,5,0.9222,0.008318,36.1,"8 (3wc@4-24cm, 5p@4-60cm)"
0.4,5,0.8977,0.009539,30.7,"6 (3wc@4-24cm, 3p@12-60cm)"
0.5,4,0.8854,0.010095,16.1,3 (3p@12-60cm)
0.6,4,0.8844,0.01014,15,2 (2p@16-60cm)
0.7,4,0.8844,0.01014,15,2 (2p@16-60cm)
0.8,4,0.8762,0.010491,14.9,2 (2p@16-60cm)
0.9,4,0.8718,0.010676,14.8,2 (2p@16-60cm)
1,3,0.6894,0.016619,14.6,2 (2p@16-60cm)
