Beans WC Only (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,4,0.9442,0.006834,40.9,"12 (7wc@4-60cm, 5p@20-64cm)"
0.0,4,0.9442,0.006834,37.8,"9 (6wc@4-60cm, 3p@20-64cm)"
0.1,4,0.9447,0.006801,42.6,"10 (4wc@4-24cm, 6p@4-60cm)"
0.2,4,0.9401,0.007081,39.5,"7 (3wc@4-28cm, 4p@4-60cm)"
0.3,5,0.9606,0.005739,36.1,"8 (3wc@4-24cm, 5p@4-60cm)"
0.4,5,0.9557,0.00609,30.7,"6 (3wc@4-24cm, 3p@12-60cm)"
0.5,4,0.9151,0.008431,16.1,3 (3p@12-60cm)
0.6,4,0.9225,0.008054,15.0,2 (2p@16-60cm)
0.7,4,0.9225,0.008054,15.0,2 (2p@16-60cm)
0.8,4,0.9176,0.008302,14.9,2 (2p@16-60cm)
0.9,4,0.9125,0.008557,14.8,2 (2p@16-60cm)
1.0,3,0.7825,0.013491,14.6,2 (2p@16-60cm)
