Flux Only,,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,5,0.8958,0.001387,71.7,"21 (8wc@8-188cm, 13p@4-196cm)"
0,5,0.8816,0.001479,64.7,"12 (5wc@4-184cm, 7p@4-192cm)"
0.1,4,0.9106,0.001285,30.4,"5 (2wc@20-176cm, 3p@4-176cm)"
0.2,4,0.9246,0.00118,59.3,"6 (3wc@16-176cm, 3p@4-176cm)"
0.3,4,0.9187,0.001225,59.3,"5 (3wc@16-176cm, 2p@4-176cm)"
0.4,5,0.8741,0.001525,42.6,"5 (2wc@16-28cm, 3p@4-176cm)"
0.5,5,0.8623,0.001595,12.4,2 (2wc@16-28cm)
0.6,5,0.8154,0.001847,8.2,1 (1wc@28cm)
0.7,6,0.8059,0.001893,8.9,1 (1wc@36cm)
0.8,5,0.8558,0.001632,16,2 (2wc@16-124cm)
0.9,8,0.4335,0.003235,11.6,1 (1wc@124cm)
1,6,0.4121,0.003295,11.2,1 (1wc@124cm)
