Corn Flux Only (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,5,0.9765,0.000672,71.7,"21 (8wc@8-188cm, 13p@4-196cm)"
0.0,5,0.9765,0.000672,64.7,"12 (5wc@4-184cm, 7p@4-192cm)"
0.1,4,0.9583,0.000895,30.4,"5 (2wc@20-176cm, 3p@4-176cm)"
0.2,4,0.9614,0.000861,59.3,"6 (3wc@16-176cm, 3p@4-176cm)"
0.3,4,0.9587,0.00089,59.3,"5 (3wc@16-176cm, 2p@4-176cm)"
0.4,5,0.9641,0.00083,42.6,"5 (2wc@16-28cm, 3p@4-176cm)"
0.5,5,0.9528,0.000952,12.4,2 (2wc@16-28cm)
0.6,5,0.9113,0.001305,8.2,1 (1wc@28cm)
0.7,6,0.88,0.001518,8.9,1 (1wc@36cm)
0.8,5,0.942,0.001056,16.0,2 (2wc@16-124cm)
0.9,8,0.7757,0.002076,11.6,1 (1wc@124cm)
1.0,6,0.6277,0.002675,11.2,1 (1wc@124cm)
