Flux+WC Content,,,,,,,,,
Cost Threshold,Combined R2,Flux R2,WC R2,R2 Gap (flux-wc),Flux RMSE,WC RMSE,Cost,Sensors,
none,0.7109,0.5665,0.8553,-0.2888,0.002829,0.010163,65.6,"19 (10wc@4-172cm, 9p@4-112cm)",
0,0.93,0.8971,0.9629,-0.0658,0.001378,0.005146,91.4,"28 (13wc@4-64cm, 15p@4-164cm)",
0.1,0.9108,0.8526,0.9689,-0.1163,0.00165,0.004709,64.8,"22 (9wc@4-124cm, 13p@4-140cm)",
0.2,0.8822,0.8085,0.9559,-0.1474,0.00188,0.005609,79.5,"17 (7wc@4-124cm, 10p@4-176cm)",
0.3,0.8942,0.8365,0.952,-0.1155,0.001738,0.005853,56.8,"10 (6wc@4-124cm, 4p@4-100cm)",
0.4,0.8763,0.7942,0.9584,-0.1642,0.001949,0.005448,14.5,2 (2wc@16-124cm),
0.5,0.8748,0.7903,0.9594,-0.1691,0.001968,0.005384,14.6,2 (2wc@16-124cm),
0.6,0.8762,0.7941,0.9582,-0.1641,0.00195,0.00546,14.8,2 (2wc@16-124cm),
0.7,0.8242,0.8033,0.8452,-0.0419,0.001906,0.01051,14.3,2 (2wc@16-124cm),
0.8,0.8242,0.8027,0.8456,-0.0429,0.001909,0.010496,16.3,2 (2wc@16-124cm),
0.9,0.7053,0.568,0.8426,-0.2746,0.002825,0.0106,40.1,"4 (3wc@36-124cm, 1p@56cm)",
1,0.61,0.4323,0.7878,-0.3555,0.003238,0.012307,42,"4 (3wc@36-124cm, 1p@56cm)",
