Corn Flux+WC Content (Training),,,,,,,,
Cost Threshold,Combined R2,Flux R2,WC R2,R2 Gap (flux-wc),Flux RMSE,WC RMSE,Cost,Sensors
none,0.881,0.8086,0.9533,-0.1447,0.001917,0.005948,65.6,"19 (10wc@4-172cm, 9p@4-112cm)"
0.0,0.9724,0.9472,0.9977,-0.0505,0.001008,0.001312,91.4,"28 (13wc@4-64cm, 15p@4-164cm)"
0.1,0.971,0.9443,0.9977,-0.0534,0.001034,0.001312,64.8,"22 (9wc@4-124cm, 13p@4-140cm)"
0.2,0.9314,0.8688,0.994,-0.1252,0.001588,0.002131,79.5,"17 (7wc@4-124cm, 10p@4-176cm)"
0.3,0.9622,0.9284,0.9959,-0.0675,0.001173,0.001762,56.8,"10 (6wc@4-124cm, 4p@4-100cm)"
0.4,0.9384,0.886,0.9908,-0.1048,0.00148,0.002638,14.5,2 (2wc@16-124cm)
0.5,0.9384,0.886,0.9908,-0.1048,0.00148,0.002638,14.6,2 (2wc@16-124cm)
0.6,0.9394,0.888,0.9909,-0.1029,0.001467,0.002631,14.8,2 (2wc@16-124cm)
0.7,0.8791,0.8141,0.9442,-0.1301,0.00189,0.006501,14.3,2 (2wc@16-124cm)
0.8,0.8775,0.8113,0.9438,-0.1325,0.001904,0.006523,16.3,2 (2wc@16-124cm)
0.9,0.8654,0.7823,0.9485,-0.1662,0.002045,0.006247,40.1,"4 (3wc@36-124cm, 1p@56cm)"
1.0,0.7477,0.5799,0.9155,-0.3356,0.002841,0.008,42.0,"4 (3wc@36-124cm, 1p@56cm)"
