Corn Flux+WC Content (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,7,0.881,0.004419,65.6,"19 (10wc@4-172cm, 9p@4-112cm)"
0.0,8,0.9724,0.00117,91.4,"28 (13wc@4-64cm, 15p@4-164cm)"
0.1,8,0.971,0.001181,64.8,"22 (9wc@4-124cm, 13p@4-140cm)"
0.2,7,0.9314,0.001879,79.5,"17 (7wc@4-124cm, 10p@4-176cm)"
0.3,8,0.9622,0.001496,56.8,"10 (6wc@4-124cm, 4p@4-100cm)"
0.4,7,0.9384,0.002139,14.5,2 (2wc@16-124cm)
0.5,7,0.9384,0.002139,14.6,2 (2wc@16-124cm)
0.6,7,0.9394,0.00213,14.8,2 (2wc@16-124cm)
0.7,7,0.8791,0.004787,14.3,2 (2wc@16-124cm)
0.8,7,0.8775,0.004805,16.3,2 (2wc@16-124cm)
0.9,8,0.8654,0.004648,40.1,"4 (3wc@36-124cm, 1p@56cm)"
1.0,7,0.7477,0.006003,42.0,"4 (3wc@36-124cm, 1p@56cm)"
