Corn WC Only,,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,4,0.8544,0.010193,27.2,"5 (2wc@24-32cm, 3p@8-104cm)"
0,4,0.9125,0.007904,58.9,"12 (8wc@8-64cm, 4p@8-156cm)"
0.1,4,0.931,0.007018,35.7,"6 (3wc@4-124cm, 3p@124-160cm)"
0.2,5,0.9382,0.006642,58.9,"13 (7wc@4-124cm, 6p@4-176cm)"
0.3,4,0.9343,0.006849,16.1,3 (3wc@16-124cm)
0.4,4,0.9336,0.006883,14.1,2 (2wc@16-124cm)
0.5,4,0.9336,0.006883,14.1,2 (2wc@16-124cm)
0.6,4,0.8477,0.010426,15.6,2 (2wc@16-124cm)
0.7,4,0.8362,0.010812,11.5,1 (1wc@124cm)
0.8,4,0.8348,0.010857,11.5,1 (1wc@124cm)
0.9,4,0.8313,0.010974,11.2,1 (1wc@124cm)
1,4,0.7606,0.013072,11.2,1 (1wc@124cm)
