Corn WC Only (Training),,,,,
Cost Threshold,Levels,R2,RMSE,Cost,Sensors
none,4,0.928,0.007384,27.2,"5 (2wc@24-32cm, 3p@8-104cm)"
0.0,4,0.96,0.005504,58.9,"12 (8wc@8-64cm, 4p@8-156cm)"
0.1,4,0.9624,0.005339,35.7,"6 (3wc@4-124cm, 3p@124-160cm)"
0.2,5,0.9813,0.003767,58.9,"13 (7wc@4-124cm, 6p@4-176cm)"
0.3,4,0.9532,0.005952,16.1,3 (3wc@16-124cm)
0.4,4,0.9514,0.006067,14.1,2 (2wc@16-124cm)
0.5,4,0.9514,0.006067,14.1,2 (2wc@16-124cm)
0.6,4,0.9265,0.007461,15.6,2 (2wc@16-124cm)
0.7,4,0.9164,0.00796,11.5,1 (1wc@124cm)
0.8,4,0.9161,0.007971,11.5,1 (1wc@124cm)
0.9,4,0.9118,0.008176,11.2,1 (1wc@124cm)
1.0,4,0.8732,0.009803,11.2,1 (1wc@124cm)
