cost_thresh,opt_level,var_exp_train,r2_test,rmse_test,total_cost,sensors
none,7,0.6618,0.7109,0.00746,65.6,"19 (10wc@4-172cm, 9p@4-112cm)"
0,8,0.7403,0.93,0.003767,91.4,"28 (13wc@4-64cm, 15p@4-164cm)"
0.1,8,0.7527,0.9108,0.003528,64.8,"22 (9wc@4-124cm, 13p@4-140cm)"
0.2,7,0.7339,0.8822,0.004183,79.5,"17 (7wc@4-124cm, 10p@4-176cm)"
0.3,8,0.7247,0.8942,0.004317,56.8,"10 (6wc@4-124cm, 4p@4-100cm)"
0.4,7,0.7696,0.8763,0.004092,14.5,2 (2wc@16-124cm)
0.5,7,0.7696,0.8748,0.004053,14.6,2 (2wc@16-124cm)
0.6,7,0.7716,0.8762,0.0041,14.8,2 (2wc@16-124cm)
0.7,7,0.669,0.8242,0.007553,14.3,2 (2wc@16-124cm)
0.8,7,0.6697,0.8242,0.007544,16.3,2 (2wc@16-124cm)
0.9,8,0.538,0.7053,0.007757,40.1,"4 (3wc@36-124cm, 1p@56cm)"
1,7,0.4346,0.61,0.008999,42,"4 (3wc@36-124cm, 1p@56cm)"
