 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 6.2026    Time:  22:51:37
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    6        6     1    -5     T
        2  0.2000000E-02  0.10000E-02    5       11     1    -5     T
        3  0.3000000E-02  0.10000E-02    4       15     1    -5     T
        4  0.4000000E-02  0.10000E-02    4       19     1    -5     T
        5  0.5000000E-02  0.10000E-02    4       23     1    -5     T
        6  0.6000000E-02  0.10000E-02    2       25     1    -5     T
        7  0.7300000E-02  0.13000E-02    3       28     1    -5     T
        8  0.8990000E-02  0.16900E-02    4       32     1    -5     T
        9  0.1068000E-01  0.16900E-02    2       34     1    -5     T
       10  0.1287700E-01  0.21970E-02    3       37     1    -5     T
       11  0.1573310E-01  0.28561E-02    4       41     1    -5     T
       12  0.1858920E-01  0.28561E-02    3       44     1    -5     T
       13  0.2230213E-01  0.37129E-02    3       47     1    -5     T
       14  0.2712894E-01  0.48268E-02    3       50     1    -5     T
       15  0.3340379E-01  0.62749E-02    3       53     1    -5     T
       16  0.4156109E-01  0.81573E-02    5       58     1    -5     T
       17  0.4971840E-01  0.81573E-02    4       62     1    -5     T
       18  0.5787570E-01  0.81573E-02    4       66     1    -5     T
       19  0.6603301E-01  0.81573E-02    4       70     1    -5     T
       20  0.7419032E-01  0.81573E-02    4       74     1    -5     T
       21  0.8234762E-01  0.81573E-02    4       78     1    -5     T
       22  0.9050493E-01  0.81573E-02    4       82     1    -5     T
       23  0.9866223E-01  0.81573E-02    7       89     1    -5     T
       24  0.1043723E+00  0.57101E-02    2       91     1    -5     T
       25  0.1117955E+00  0.74231E-02    3       94     1    -5     T
       26  0.1214456E+00  0.96501E-02    4       98     1    -5     T
       27  0.1310957E+00  0.96501E-02    4      102     1    -5     T
       28  0.1407458E+00  0.96501E-02    4      106     1    -5     T
       29  0.1503959E+00  0.96501E-02    3      109     1    -5     T
       30  0.1629410E+00  0.12545E-01    4      113     1    -5     T
       31  0.1754861E+00  0.12545E-01    4      117     1    -5     T
       32  0.1880312E+00  0.12545E-01    3      120     1    -5     T
       33  0.2043399E+00  0.16309E-01    4      124     1    -5     T
       34  0.2206485E+00  0.16309E-01    5      129     1    -5     T
       35  0.2369572E+00  0.16309E-01    5      134     1    -5     T
       36  0.2532658E+00  0.16309E-01    5      139     1    -5     T
       37  0.2587021E+00  0.54362E-02    8      157     1    -5     T
       38  0.2625074E+00  0.38054E-02    2      159     1    -5     T
       39  0.2641564E+00  0.16490E-02    5      174     1    -5     T
       40  0.2658054E+00  0.16490E-02    5      179     1    -5     T
       41  0.2674544E+00  0.16490E-02    3      182     1    -5     T
       42  0.2695980E+00  0.21437E-02    3      185     1    -5     T
       43  0.2723848E+00  0.27868E-02    2      187     1    -5     T
       44  0.2760076E+00  0.36228E-02    2      189     1    -5     T
       45  0.2807173E+00  0.47097E-02    2      191     1    -5     T
       46  0.2868399E+00  0.61226E-02    2      193     1    -5     T
       47  0.2947992E+00  0.79593E-02    2      195     1    -5     T
       48  0.3051464E+00  0.10347E-01    3      198     1    -5     T
       49  0.3185976E+00  0.13451E-01    2      200     1    -5     T
       50  0.3360843E+00  0.17487E-01    4      204     1    -5     T
       51  0.3535710E+00  0.17487E-01    4      208     1    -5     T
       52  0.3710576E+00  0.17487E-01    3      211     1    -5     T
       53  0.3937903E+00  0.22733E-01    5      216     1    -5     T
       54  0.4165230E+00  0.22733E-01    4      220     1    -5     T
       55  0.4392556E+00  0.22733E-01    4      224     1    -5     T
       56  0.4619883E+00  0.22733E-01    5      229     1    -5     T
       57  0.4847209E+00  0.22733E-01   10      239     1    -5     T
       58  0.5006338E+00  0.15913E-01    2      241     1    -5     T
       59  0.5213205E+00  0.20687E-01    5      246     1    -5     T
       60  0.5420072E+00  0.20687E-01    3      249     1    -5     T
       61  0.5689000E+00  0.26893E-01    5      254     1    -5     T
       62  0.5957927E+00  0.26893E-01    4      258     1    -5     T
       63  0.6226854E+00  0.26893E-01    4      262     1    -5     T
       64  0.6495782E+00  0.26893E-01    4      266     1    -5     T
       65  0.6764709E+00  0.26893E-01    4      270     1    -5     T
       66  0.7033637E+00  0.26893E-01    4      274     1    -5     T
       67  0.7302564E+00  0.26893E-01    4      278     1    -5     T
       68  0.7392478E+00  0.89915E-02    5      293     1    -5     T
       69  0.7482393E+00  0.89915E-02    3      296     1    -5     T
       70  0.7599282E+00  0.11689E-01    3      299     1    -5     T
       71  0.7751237E+00  0.15196E-01    2      301     1    -5     T
       72  0.7948780E+00  0.19754E-01    2      303     1    -5     T
       73  0.8205182E+00  0.25640E-01    3      306     1    -5     T
       74  0.8564146E+00  0.35896E-01    4      310     1    -5     T
       75  0.8923109E+00  0.35896E-01    5      315     1    -5     T
       76  0.9282073E+00  0.35896E-01    4      319     1    -5     T
       77  0.9641036E+00  0.35896E-01    4      323     1    -5     T
       78  0.1000000E+01  0.35896E-01    4      327     1    -5     T
       79  0.1001000E+01  0.10000E-02    2      329     1    -5     T
       80  0.1002300E+01  0.13000E-02    2      331     1    -5     T
       81  0.1003990E+01  0.16900E-02    2      333     1    -5     T
       82  0.1006187E+01  0.21970E-02    2      335     1    -5     T
       83  0.1009043E+01  0.28561E-02    2      337     1    -5     T
       84  0.1012756E+01  0.37129E-02    2      339     1    -5     T
       85  0.1017583E+01  0.48268E-02    2      341     1    -5     T
       86  0.1023858E+01  0.62749E-02    2      343     1    -5     T
       87  0.1032015E+01  0.81573E-02    2      345     1    -5     T
       88  0.1042619E+01  0.10604E-01    2      347     1    -5     T
       89  0.1056405E+01  0.13786E-01    2      349     1    -5     T
       90  0.1074327E+01  0.17922E-01    2      351     1    -5     T
       91  0.1097625E+01  0.23298E-01    2      353     1    -5     T
       92  0.1127913E+01  0.30287E-01    2      355     1    -5     T
       93  0.1167286E+01  0.39374E-01    3      358     1    -5     T
       94  0.1218472E+01  0.51186E-01    3      361     1    -5     T
