0     sand(%)     silt(%)     clay(%)
1     0     0     100
2     0     2     98
3     0     4     96
4     0     6     94
5     0     8     92
6     0     10     90
7     0     12     88
8     0     14     86
9     0     16     84
10     0     18     82
11     0     20     80
12     0     22     78
13     0     24     76
14     0     26     74
15     0     28     72
16     0     30     70
17     0     32     68
18     0     34     66
19     0     36     64
20     0     38     62
21     0     40     60
22     0     42     58
23     0     44     56
24     0     46     54
25     0     48     52
26     0     50     50
27     0     52     48
28     0     54     46
29     0     56     44
30     0     58     42
31     0     60     40
32     0     62     38
33     0     64     36
34     0     66     34
35     0     68     32
36     0     70     30
37     0     72     28
38     0     74     26
39     0     76     24
40     0     78     22
41     0     80     20
42     0     82     18
43     0     84     16
44     0     86     14
45     0     88     12
46     0     90     10
47     0     92     8
48     0     94     6
49     0     96     4
50     0     98     2
51     0     100     0
52     2     0     98
53     2     2     96
54     2     4     94
55     2     6     92
56     2     8     90
57     2     10     88
58     2     12     86
59     2     14     84
60     2     16     82
61     2     18     80
62     2     20     78
63     2     22     76
64     2     24     74
65     2     26     72
66     2     28     70
67     2     30     68
68     2     32     66
69     2     34     64
70     2     36     62
71     2     38     60
72     2     40     58
73     2     42     56
74     2     44     54
75     2     46     52
76     2     48     50
77     2     50     48
78     2     52     46
79     2     54     44
80     2     56     42
81     2     58     40
82     2     60     38
83     2     62     36
84     2     64     34
85     2     66     32
86     2     68     30
87     2     70     28
88     2     72     26
89     2     74     24
90     2     76     22
91     2     78     20
92     2     80     18
93     2     82     16
94     2     84     14
95     2     86     12
96     2     88     10
97     2     90     8
98     2     92     6
99     2     94     4
100     2     96     2
101     2     98     0
102     4     0     96
103     4     2     94
104     4     4     92
105     4     6     90
106     4     8     88
107     4     10     86
108     4     12     84
109     4     14     82
110     4     16     80
111     4     18     78
112     4     20     76
113     4     22     74
114     4     24     72
115     4     26     70
116     4     28     68
117     4     30     66
118     4     32     64
119     4     34     62
120     4     36     60
121     4     38     58
122     4     40     56
123     4     42     54
124     4     44     52
125     4     46     50
126     4     48     48
127     4     50     46
128     4     52     44
129     4     54     42
130     4     56     40
131     4     58     38
132     4     60     36
133     4     62     34
134     4     64     32
135     4     66     30
136     4     68     28
137     4     70     26
138     4     72     24
139     4     74     22
140     4     76     20
141     4     78     18
142     4     80     16
143     4     82     14
144     4     84     12
145     4     86     10
146     4     88     8
147     4     90     6
148     4     92     4
149     4     94     2
150     4     96     0
151     6     0     94
152     6     2     92
153     6     4     90
154     6     6     88
155     6     8     86
156     6     10     84
157     6     12     82
158     6     14     80
159     6     16     78
160     6     18     76
161     6     20     74
162     6     22     72
163     6     24     70
164     6     26     68
165     6     28     66
166     6     30     64
167     6     32     62
168     6     34     60
169     6     36     58
170     6     38     56
171     6     40     54
172     6     42     52
173     6     44     50
174     6     46     48
175     6     48     46
176     6     50     44
177     6     52     42
178     6     54     40
179     6     56     38
180     6     58     36
181     6     60     34
182     6     62     32
183     6     64     30
184     6     66     28
185     6     68     26
186     6     70     24
187     6     72     22
188     6     74     20
189     6     76     18
190     6     78     16
191     6     80     14
192     6     82     12
193     6     84     10
194     6     86     8
195     6     88     6
196     6     90     4
197     6     92     2
198     6     94     0
199     8     0     92
200     8     2     90
201     8     4     88
202     8     6     86
203     8     8     84
204     8     10     82
205     8     12     80
206     8     14     78
207     8     16     76
208     8     18     74
209     8     20     72
210     8     22     70
211     8     24     68
212     8     26     66
213     8     28     64
214     8     30     62
215     8     32     60
216     8     34     58
217     8     36     56
218     8     38     54
219     8     40     52
220     8     42     50
221     8     44     48
222     8     46     46
223     8     48     44
224     8     50     42
225     8     52     40
226     8     54     38
227     8     56     36
228     8     58     34
229     8     60     32
230     8     62     30
231     8     64     28
232     8     66     26
233     8     68     24
234     8     70     22
235     8     72     20
236     8     74     18
237     8     76     16
