0     sand(%)     silt(%)     clay(%)
0    0    0    100
1    0    1    99
2    0    2    98
3    0    3    97
4    0    4    96
5    0    5    95
6    0    6    94
7    0    7    93
8    0    8    92
9    0    9    91
10    0    10    90
11    0    11    89
12    0    12    88
13    0    13    87
14    0    14    86
15    0    15    85
16    0    16    84
17    0    17    83
18    0    18    82
19    0    19    81
20    0    20    80
21    0    21    79
22    0    22    78
23    0    23    77
24    0    24    76
25    0    25    75
26    0    26    74
27    0    27    73
28    0    28    72
29    0    29    71
30    0    30    70
31    0    31    69
32    0    32    68
33    0    33    67
34    0    34    66
35    0    35    65
36    0    36    64
37    0    37    63
38    0    38    62
39    0    39    61
40    0    40    60
41    0    41    59
42    0    42    58
43    0    43    57
44    0    44    56
45    0    45    55
46    0    46    54
47    0    47    53
48    0    48    52
49    0    49    51
50    0    50    50
51    0    51    49
52    0    52    48
53    0    53    47
54    0    54    46
55    0    55    45
56    0    56    44
57    0    57    43
58    0    58    42
59    0    59    41
60    0    60    40
61    0    61    39
62    0    62    38
63    0    63    37
64    0    64    36
65    0    65    35
66    0    66    34
67    0    67    33
68    0    68    32
69    0    69    31
70    0    70    30
71    0    71    29
72    0    72    28
73    0    73    27
74    0    74    26
75    0    75    25
76    0    76    24
77    0    77    23
78    0    78    22
79    0    79    21
80    0    80    20
81    0    81    19
82    0    82    18
83    0    83    17
84    0    84    16
85    0    85    15
86    0    86    14
87    0    87    13
88    0    88    12
89    0    89    11
90    0    90    10
91    0    91    9
92    0    92    8
93    0    93    7
94    0    94    6
95    0    95    5
96    0    96    4
97    0    97    3
98    0    98    2
99    0    99    1
100    0    100    0
101    1    0    99
102    1    1    98
103    1    2    97
104    1    3    96
105    1    4    95
106    1    5    94
107    1    6    93
108    1    7    92
109    1    8    91
110    1    9    90
111    1    10    89
112    1    11    88
113    1    12    87
114    1    13    86
115    1    14    85
116    1    15    84
117    1    16    83
118    1    17    82
119    1    18    81
120    1    19    80
121    1    20    79
122    1    21    78
123    1    22    77
124    1    23    76
125    1    24    75
126    1    25    74
127    1    26    73
128    1    27    72
129    1    28    71
130    1    29    70
131    1    30    69
132    1    31    68
133    1    32    67
134    1    33    66
135    1    34    65
136    1    35    64
137    1    36    63
138    1    37    62
139    1    38    61
140    1    39    60
141    1    40    59
142    1    41    58
143    1    42    57
144    1    43    56
145    1    44    55
146    1    45    54
147    1    46    53
148    1    47    52
149    1    48    51
150    1    49    50
151    1    50    49
152    1    51    48
153    1    52    47
154    1    53    46
155    1    54    45
156    1    55    44
157    1    56    43
158    1    57    42
159    1    58    41
160    1    59    40
161    1    60    39
162    1    61    38
163    1    62    37
164    1    63    36
165    1    64    35
166    1    65    34
167    1    66    33
168    1    67    32
169    1    68    31
170    1    69    30
171    1    70    29
172    1    71    28
173    1    72    27
174    1    73    26
175    1    74    25
176    1    75    24
177    1    76    23
178    1    77    22
179    1    78    21
180    1    79    20
181    1    80    19
182    1    81    18
183    1    82    17
184    1    83    16
185    1    84    15
186    1    85    14
187    1    86    13
188    1    87    12
189    1    88    11
190    1    89    10
191    1    90    9
192    1    91    8
193    1    92    7
194    1    93    6
195    1    94    5
196    1    95    4
197    1    96    3
198    1    97    2
199    1    98    1
200    1    99    0
201    2    0    98
202    2    1    97
203    2    2    96
204    2    3    95
205    2    4    94
206    2    5    93
207    2    6    92
208    2    7    91
209    2    8    90
210    2    9    89
211    2    10    88
212    2    11    87
213    2    12    86
214    2    13    85
215    2    14    84
216    2    15    83
217    2    16    82
218    2    17    81
219    2    18    80
220    2    19    79
221    2    20    78
222    2    21    77
223    2    22    76
224    2    23    75
225    2    24    74
226    2    25    73
227    2    26    72
228    2    27    71
229    2    28    70
230    2    29    69
231    2    30    68
232    2    31    67
233    2    32    66
234    2    33    65
235    2    34    64
236    2    35    63
237    2    36    62
238    2    37    61
239    2    38    60
240    2    39    59
241    2    40    58
242    2    41    57
243    2    42    56
244    2    43    55
245    2    44    54
246    2    45    53
247    2    46    52
248    2    47    51
249    2    48    50
250    2    49    49
251    2    50    48
252    2    51    47
253    2    52    46
254    2    53    45
255    2    54    44
256    2    55    43
257    2    56    42
258    2    57    41
259    2    58    40
260    2    59    39
261    2    60    38
262    2    61    37
263    2    62    36
264    2    63    35
265    2    64    34
