ID	comment	sand(%)	silt(%)	clay(%)	Theta_r	Theta_s	Alpha	N	Ks	psi_inflec
1	NA	0	0	100	0.10952	0.49684	1.592	1.15477	2.13514E-06	-0.110211747
2	NA	0	2	98	0.10867	0.50148	1.653	1.15288	2.10599E-06	-0.104869105
3	NA	0	4	96	0.10806	0.50578	1.717	1.15204	2.08252E-06	-0.100413692
4	NA	0	6	94	0.10766	0.50964	1.779	1.15246	2.06673E-06	-0.097177945
5	NA	0	8	92	0.10744	0.51304	1.836	1.15409	2.05693E-06	-0.095151928
6	NA	0	10	90	0.10737	0.51599	1.884	1.15678	2.05091E-06	-0.094318054
7	NA	0	12	88	0.10739	0.51853	1.924	1.1603	2.04695E-06	-0.094388777
8	NA	0	14	86	0.10746	0.52068	1.954	1.16448	2.04268E-06	-0.095305867
9	NA	0	16	84	0.10755	0.52248	1.974	1.1692	2.03269E-06	-0.096972907
10	NA	0	18	82	0.10763	0.52397	1.985	1.17442	2.01031E-06	-0.099315539
11	NA	0	20	80	0.1077	0.52519	1.988	1.18012	1.97743E-06	-0.102286866
12	NA	0	22	78	0.10776	0.52617	1.984	1.18632	1.95207E-06	-0.105871929
13	NA	0	24	76	0.1078	0.52693	1.974	1.19304	1.95042E-06	-0.110061205
14	NA	0	26	74	0.10784	0.52748	1.957	1.20032	1.98253E-06	-0.114975325
15	NA	0	28	72	0.10788	0.52784	1.935	1.2082	2.10144E-06	-0.12057475
16	NA	0	30	70	0.10792	0.52801	1.906	1.21672	2.33967E-06	-0.127071438
17	NA	0	32	68	0.10798	0.52799	1.872	1.22593	2.69164E-06	-0.134450954
18	NA	0	34	66	0.10803	0.52777	1.832	1.23585	3.05248E-06	-0.142896565
19	NA	0	36	64	0.10809	0.52734	1.788	1.24649	3.25145E-06	-0.152382544
20	NA	0	38	62	0.10814	0.52672	1.74	1.25786	3.21012E-06	-0.163039419
21	NA	0	40	60	0.10816	0.52591	1.69	1.26999	2.95532E-06	-0.174831173
22	NA	0	42	58	0.10815	0.52494	1.637	1.28299	2.61241E-06	-0.188058624
23	NA	0	44	56	0.10806	0.52385	1.584	1.29698	2.30251E-06	-0.202596487
24	NA	0	46	54	0.10787	0.52267	1.531	1.31207	2.05261E-06	-0.218607609
25	NA	0	48	52	0.10755	0.5214	1.478	1.32834	1.84892E-06	-0.236251837
26	NA	0	50	50	0.10706	0.52001	1.426	1.34575	1.68585E-06	-0.255454163
27	NA	0	52	48	0.10638	0.51837	1.374	1.36408	1.55551E-06	-0.276362132
28	NA	0	54	46	0.10547	0.5163	1.319	1.38295	1.44805E-06	-0.299579828
29	NA	0	56	44	0.10426	0.51359	1.259	1.40194	1.35623E-06	-0.325808076
30	NA	0	58	42	0.10267	0.51008	1.195	1.42065	1.27473E-06	-0.355281573
31	NA	0	60	40	0.10071	0.50578	1.129	1.43887	1.19951E-06	-0.388069734
32	NA	0	62	38	0.0986	0.50089	1.061	1.45672	1.12838E-06	-0.425098838
33	NA	0	64	36	0.0965	0.49572	0.995	1.47433	1.06491E-06	-0.465711869
34	NA	0	66	34	0.09441	0.49047	0.934	1.49154	1.01613E-06	-0.508681813
35	NA	0	68	32	0.09231	0.48542	0.879	1.5081	9.79339E-07	-0.552987894
36	NA	0	70	30	0.09023	0.48086	0.832	1.52377	9.50256E-07	-0.596367465
37	NA	0	72	28	0.08818	0.47709	0.795	1.5384	9.28832E-07	-0.63568838
38	NA	0	74	26	0.08614	0.4743	0.767	1.55192	9.21726E-07	-0.669714932
39	NA	0	76	24	0.08407	0.47261	0.748	1.56433	9.3766E-07	-0.696692232
40	NA	0	78	22	0.08187	0.47212	0.737	1.57566	9.8075E-07	-0.716143851
41	NA	0	80	20	0.07947	0.47294	0.732	1.58593	1.05427E-06	-0.729150515
42	NA	0	82	18	0.07677	0.47522	0.735	1.59513	1.16079E-06	-0.733297949
43	NA	0	84	16	0.07374	0.47912	0.745	1.60325	1.30247E-06	-0.729569395
44	NA	0	86	14	0.07035	0.48481	0.763	1.61024	1.48233E-06	-0.717433399
45	NA	0	88	12	0.06662	0.49244	0.791	1.61603	1.70504E-06	-0.696050074
46	NA	0	90	10	0.06263	0.50222	0.83	1.62047	1.9773E-06	-0.666251806
47	NA	0	92	8	0.05852	0.51438	0.886	1.62333	2.30798E-06	-0.625885128
48	NA	0	94	6	0.05449	0.52903	0.964	1.62436	2.70702E-06	-0.575818398
49	NA	0	96	4	0.05077	0.54596	1.072	1.62332	3.18332E-06	-0.517284359
50	NA	0	98	2	0.04744	0.56439	1.219	1.62022	3.74455E-06	-0.453530418
51	NA	0	100	0	0.04445	0.58312	1.412	1.61537	4.39753E-06	-0.389670925
52	NA	2	0	98	0.10789	0.49549	1.61	1.15167	2.13476E-06	-0.106830287
53	NA	2	2	96	0.10712	0.49993	1.672	1.15014	2.1097E-06	-0.101845195
54	NA	2	4	94	0.10655	0.504	1.734	1.14984	2.08625E-06	-0.09800996
55	NA	2	6	92	0.1062	0.50765	1.795	1.15087	2.0698E-06	-0.095321513
56	NA	2	8	90	0.10603	0.51085	1.85	1.15311	2.06081E-06	-0.093840768
57	NA	2	10	88	0.106	0.51361	1.896	1.15634	2.05708E-06	-0.093462898
58	NA	2	12	86	0.10604	0.51596	1.933	1.16033	2.05634E-06	-0.093966508
59	NA	2	14	84	0.10611	0.51794	1.959	1.16493	2.05675E-06	-0.0953161
60	NA	2	16	82	0.10619	0.51957	1.976	1.17004	2.05544E-06	-0.097341424
61	NA	2	18	80	0.10627	0.5209	1.984	1.17565	2.04735E-06	-0.100042166
62	NA	2	20	78	0.10633	0.52196	1.983	1.18175	2.03059E-06	-0.103435877
63	NA	2	22	76	0.10638	0.52279	1.975	1.18837	2.01766E-06	-0.107471282
64	NA	2	24	74	0.10642	0.52339	1.96	1.19555	2.03571E-06	-0.112213911
65	NA	2	26	72	0.10646	0.52378	1.94	1.20331	2.09947E-06	-0.117612306
66	NA	2	28	70	0.10651	0.52397	1.913	1.21171	2.24963E-06	-0.12388126
67	NA	2	30	68	0.10656	0.52397	1.88	1.2208	2.537E-06	-0.131073614
68	NA	2	32	66	0.10661	0.52376	1.841	1.23064	2.92985E-06	-0.13932758
69	NA	2	34	64	0.10666	0.52336	1.796	1.24126	3.29908E-06	-0.148793699
70	NA	2	36	62	0.1067	0.52274	1.747	1.2527	3.42227E-06	-0.159482272
71	NA	2	38	60	0.10672	0.52194	1.694	1.26495	3.24202E-06	-0.171545006
72	NA	2	40	58	0.10671	0.52095	1.639	1.27806	2.8822E-06	-0.184980336
73	NA	2	42	56	0.10664	0.51982	1.584	1.29214	2.51779E-06	-0.199763812
74	NA	2	44	54	0.10648	0.51858	1.527	1.3073	2.23254E-06	-0.21635149
75	NA	2	46	52	0.1062	0.51726	1.472	1.32365	2.00978E-06	-0.234402809
76	NA	2	48	50	0.10577	0.51586	1.417	1.34121	1.82914E-06	-0.254326903
77	NA	2	50	48	0.10516	0.51428	1.363	1.35986	1.68433E-06	-0.276013655
78	NA	2	52	46	0.10434	0.51237	1.306	1.37927	1.56815E-06	-0.300287223
79	NA	2	54	44	0.10327	0.50992	1.246	1.39902	1.47311E-06	-0.327375064
80	NA	2	56	42	0.10185	0.50674	1.181	1.41869	1.39221E-06	-0.35823631
81	NA	2	58	40	0.10003	0.50275	1.113	1.43794	1.31973E-06	-0.393035098
82	NA	2	60	38	0.09794	0.49806	1.044	1.45672	1.25204E-06	-0.432020945
83	NA	2	62	36	0.09579	0.49296	0.976	1.47524	1.19028E-06	-0.475421948
84	NA	2	64	34	0.09364	0.48771	0.911	1.49348	1.14242E-06	-0.522952216
85	NA	2	66	32	0.0915	0.48257	0.853	1.5112	1.10992E-06	-0.572210818
86	NA	2	68	30	0.08935	0.47783	0.803	1.52811	1.0877E-06	-0.621331054
87	NA	2	70	28	0.08722	0.47381	0.762	1.54399	1.07482E-06	-0.667751162
88	NA	2	72	26	0.08512	0.47073	0.73	1.55871	1.07725E-06	-0.709272738
89	NA	2	74	24	0.08301	0.46874	0.708	1.57218	1.10723E-06	-0.742601751
90	NA	2	76	22	0.0808	0.46794	0.694	1.58441	1.17218E-06	-0.767817575
91	NA	2	78	20	0.07841	0.46844	0.687	1.59538	1.27768E-06	-0.78473822
92	NA	2	80	18	0.07576	0.47038	0.687	1.6051	1.42807E-06	-0.792661532
93	NA	2	82	16	0.07279	0.47394	0.695	1.61356	1.62582E-06	-0.790252283
94	NA	2	84	14	0.06947	0.47928	0.711	1.62073	1.87253E-06	-0.777960303
95	NA	2	86	12	0.0658	0.48658	0.735	1.62653	2.17044E-06	-0.756808872
96	NA	2	88	10	0.06185	0.49605	0.77	1.63085	2.52373E-06	-0.725405931
97	NA	2	90	8	0.05776	0.50791	0.82	1.63347	2.9403E-06	-0.682871182
98	NA	2	92	6	0.05371	0.52234	0.89	1.63412	3.4335E-06	-0.629549141
99	NA	2	94	4	0.04994	0.53921	0.987	1.63259	4.02172E-06	-0.566856701
100	NA	2	96	2	0.04655	0.55781	1.119	1.62884	4.72472E-06	-0.498204405
101	NA	2	98	0	0.04351	0.57697	1.294	1.62316	5.55866E-06	-0.428471853
102	NA	4	0	96	0.10654	0.49401	1.634	1.14857	2.1199E-06	-0.10313726
103	NA	4	2	94	0.10586	0.49826	1.697	1.14754	2.10154E-06	-0.09862757
104	NA	4	4	92	0.10533	0.50212	1.76	1.14786	2.08E-06	-0.095301153
105	NA	4	6	90	0.105	0.50555	1.818	1.14953	2.06209E-06	-0.093290474
106	NA	4	8	88	0.10485	0.50854	1.871	1.15236	2.05184E-06	-0.092339847
107	NA	4	10	86	0.10482	0.51111	1.915	1.15609	2.04869E-06	-0.092390288
108	NA	4	12	84	0.10485	0.51327	1.948	1.16051	2.05027E-06	-0.093345362
109	NA	4	14	82	0.10492	0.51507	1.971	1.16551	2.05453E-06	-0.095060338
110	NA	4	16	80	0.10498	0.51653	1.984	1.17102	2.0599E-06	-0.097490637
111	NA	4	18	78	0.10504	0.5177	1.988	1.17702	2.0642E-06	-0.100591847
112	NA	4	20	76	0.10509	0.5186	1.983	1.18354	2.06583E-06	-0.104412527
113	NA	4	22	74	0.10513	0.51926	1.971	1.19061	2.07248E-06	-0.108909172
114	NA	4	24	72	0.10516	0.51969	1.952	1.19826	2.1116E-06	-0.114150572
115	NA	4	26	70	0.1052	0.51992	1.926	1.20655	2.21311E-06	-0.120238797
116	NA	4	28	68	0.10524	0.51993	1.895	1.21551	2.39823E-06	-0.127146274
117	NA	4	30	66	0.10529	0.51975	1.857	1.22522	2.71408E-06	-0.135145102
118	NA	4	32	64	0.10533	0.51935	1.812	1.23575	3.11384E-06	-0.144418011
119	NA	4	34	62	0.10536	0.51875	1.762	1.24714	3.43977E-06	-0.154998213
120	NA	4	36	60	0.10538	0.51794	1.707	1.25943	3.44951E-06	-0.167091161
121	NA	4	38	58	0.10536	0.51694	1.65	1.27265	3.14138E-06	-0.18061756
122	NA	4	40	56	0.10528	0.51578	1.591	1.28684	2.72908E-06	-0.195772559
123	NA	4	42	54	0.10513	0.51449	1.531	1.30209	2.38769E-06	-0.212680528
